id;wkt
0;POLYGON((-688287.1463414633 -1126046.1219512196, -688287.1463414633 -1106046.1219512196, -687938.0982127177 -1106049.1680480917, -688287.1463414633 -1126046.1219512196))
1;POLYGON((-688287.1463414633 -1126046.1219512196, -687938.0982127177 -1106049.1680480917, -687589.1564074133 -1106058.3054108378, -688287.1463414633 -1126046.1219512196))
2;POLYGON((-688287.1463414633 -1126046.1219512196, -687589.1564074133 -1106058.3054108378, -687240.4272166045 -1106073.531256128, -688287.1463414633 -1126046.1219512196))
3;POLYGON((-688287.1463414633 -1126046.1219512196, -687240.4272166045 -1106073.531256128, -686892.0168665808 -1106094.8409460231, -688287.1463414633 -1126046.1219512196))
4;POLYGON((-688287.1463414633 -1126046.1219512196, -686892.0168665808 -1106094.8409460231, -686544.0314865102 -1106122.2279893847, -688287.1463414633 -1126046.1219512196))
5;POLYGON((-688287.1463414633 -1126046.1219512196, -686544.0314865102 -1106122.2279893847, -686196.5770761103 -1106155.6840438542, -688287.1463414633 -1126046.1219512196))
6;POLYGON((-688287.1463414633 -1126046.1219512196, -686196.5770761103 -1106155.6840438542, -685849.7594733604 -1106195.198918393, -688287.1463414633 -1126046.1219512196))
7;POLYGON((-688287.1463414633 -1126046.1219512196, -685849.7594733604 -1106195.198918393, -685503.6843222621 -1106240.7605763883, -688287.1463414633 -1126046.1219512196))
8;POLYGON((-688287.1463414633 -1126046.1219512196, -685503.6843222621 -1106240.7605763883, -685158.4570406587 -1106292.3551393168, -688287.1463414633 -1126046.1219512196))
9;POLYGON((-688287.1463414633 -1126046.1219512196, -685158.4570406587 -1106292.3551393168, -684814.1827881247 -1106349.9668909754, -688287.1463414633 -1126046.1219512196))
10;POLYGON((-688287.1463414633 -1126046.1219512196, -684814.1827881247 -1106349.9668909754, -684470.9664339324 -1106413.5782822664, -688287.1463414633 -1126046.1219512196))
11;POLYGON((-688287.1463414633 -1126046.1219512196, -684470.9664339324 -1106413.5782822664, -684128.9125251081 -1106483.1699365436, -688287.1463414633 -1126046.1219512196))
12;POLYGON((-688287.1463414633 -1126046.1219512196, -684128.9125251081 -1106483.1699365436, -683788.125254586 -1106558.7206555149, -688287.1463414633 -1126046.1219512196))
13;POLYGON((-688287.1463414633 -1126046.1219512196, -683788.125254586 -1106558.7206555149, -683448.70842947 -1106640.2074256998, -688287.1463414633 -1126046.1219512196))
14;POLYGON((-688287.1463414633 -1126046.1219512196, -683448.70842947 -1106640.2074256998, -683110.7654394129 -1106727.6054254381, -688287.1463414633 -1126046.1219512196))
15;POLYGON((-688287.1463414633 -1126046.1219512196, -683110.7654394129 -1106727.6054254381, -682774.3992251233 -1106820.8880324531, -688287.1463414633 -1126046.1219512196))
16;POLYGON((-688287.1463414633 -1126046.1219512196, -682774.3992251233 -1106820.8880324531, -682439.7122470086 -1106920.026831959, -688287.1463414633 -1126046.1219512196))
17;POLYGON((-688287.1463414633 -1126046.1219512196, -682439.7122470086 -1106920.026831959, -682106.8064539643 -1107024.9916253164, -688287.1463414633 -1126046.1219512196))
18;POLYGON((-688287.1463414633 -1126046.1219512196, -682106.8064539643 -1107024.9916253164, -681775.7832523201 -1107135.7504392334, -688287.1463414633 -1126046.1219512196))
19;POLYGON((-688287.1463414633 -1126046.1219512196, -681775.7832523201 -1107135.7504392334, -681446.74347495 -1107252.2695355015, -688287.1463414633 -1126046.1219512196))
20;POLYGON((-688287.1463414633 -1126046.1219512196, -681446.74347495 -1107252.2695355015, -681119.7873505573 -1107374.5134212757, -688287.1463414633 -1126046.1219512196))
21;POLYGON((-688287.1463414633 -1126046.1219512196, -681119.7873505573 -1107374.5134212757, -680795.0144731451 -1107502.444859884, -688287.1463414633 -1126046.1219512196))
22;POLYGON((-688287.1463414633 -1126046.1219512196, -680795.0144731451 -1107502.444859884, -680472.5237716779 -1107636.0248821708, -688287.1463414633 -1126046.1219512196))
23;POLYGON((-688287.1463414633 -1126046.1219512196, -680472.5237716779 -1107636.0248821708, -680152.4134799473 -1107775.2127983677, -688287.1463414633 -1126046.1219512196))
24;POLYGON((-688287.1463414633 -1126046.1219512196, -680152.4134799473 -1107775.2127983677, -679834.7811066493 -1107919.9662104866, -688287.1463414633 -1126046.1219512196))
25;POLYGON((-688287.1463414633 -1126046.1219512196, -679834.7811066493 -1107919.9662104866, -679519.7234056818 -1108070.2410252362, -688287.1463414633 -1126046.1219512196))
26;POLYGON((-688287.1463414633 -1126046.1219512196, -679519.7234056818 -1108070.2410252362, -679207.3363466724 -1108225.9914674524, -688287.1463414633 -1126046.1219512196))
27;POLYGON((-688287.1463414633 -1126046.1219512196, -679207.3363466724 -1108225.9914674524, -678897.7150857456 -1108387.1700940412, -688287.1463414633 -1126046.1219512196))
28;POLYGON((-688287.1463414633 -1126046.1219512196, -678897.7150857456 -1108387.1700940412, -678590.9539365366 -1108553.7278084317, -688287.1463414633 -1126046.1219512196))
29;POLYGON((-688287.1463414633 -1126046.1219512196, -678590.9539365366 -1108553.7278084317, -678287.1463414633 -1108725.613875531, -688287.1463414633 -1126046.1219512196))
30;POLYGON((-688287.1463414633 -1126046.1219512196, -678287.1463414633 -1108725.613875531, -677986.3848432623 -1108902.7759371775, -688287.1463414633 -1126046.1219512196))
31;POLYGON((-688287.1463414633 -1126046.1219512196, -677986.3848432623 -1108902.7759371775, -677688.7610567992 -1109085.1600280912, -688287.1463414633 -1126046.1219512196))
32;POLYGON((-688287.1463414633 -1126046.1219512196, -677688.7610567992 -1109085.1600280912, -677394.3656411627 -1109272.710592311, -688287.1463414633 -1126046.1219512196))
33;POLYGON((-688287.1463414633 -1126046.1219512196, -677394.3656411627 -1109272.710592311, -677103.2882720483 -1109465.3705001187, -688287.1463414633 -1126046.1219512196))
34;POLYGON((-688287.1463414633 -1126046.1219512196, -677103.2882720483 -1109465.3705001187, -676815.6176144424 -1109663.0810654399, -688287.1463414633 -1126046.1219512196))
35;POLYGON((-688287.1463414633 -1126046.1219512196, -676815.6176144424 -1109663.0810654399, -676531.4412956139 -1109865.7820637207, -688287.1463414633 -1126046.1219512196))
36;POLYGON((-688287.1463414633 -1126046.1219512196, -676531.4412956139 -1109865.7820637207, -676250.8458784224 -1110073.4117502738, -688287.1463414633 -1126046.1219512196))
37;POLYGON((-688287.1463414633 -1126046.1219512196, -676250.8458784224 -1110073.4117502738, -675973.9168349501 -1110285.906879085, -688287.1463414633 -1126046.1219512196))
38;POLYGON((-688287.1463414633 -1126046.1219512196, -675973.9168349501 -1110285.906879085, -675700.7385204666 -1110503.2027220803, -688287.1463414633 -1126046.1219512196))
39;POLYGON((-688287.1463414633 -1126046.1219512196, -675700.7385204666 -1110503.2027220803, -675431.3941477325 -1110725.23308884, -688287.1463414633 -1126046.1219512196))
40;POLYGON((-688287.1463414633 -1126046.1219512196, -675431.3941477325 -1110725.23308884, -675165.9657616531 -1110951.9303467642, -688287.1463414633 -1126046.1219512196))
41;POLYGON((-688287.1463414633 -1126046.1219512196, -675165.9657616531 -1110951.9303467642, -674904.5342142861 -1111183.2254416717, -688287.1463414633 -1126046.1219512196))
42;POLYGON((-688287.1463414633 -1126046.1219512196, -674904.5342142861 -1111183.2254416717, -674647.1791402133 -1111419.0479188361, -688287.1463414633 -1126046.1219512196))
43;POLYGON((-688287.1463414633 -1126046.1219512196, -674647.1791402133 -1111419.0479188361, -674393.9789322834 -1111659.3259444465, -688287.1463414633 -1126046.1219512196))
44;POLYGON((-688287.1463414633 -1126046.1219512196, -674393.9789322834 -1111659.3259444465, -674145.0107177324 -1111903.9863274887, -688287.1463414633 -1126046.1219512196))
45;POLYGON((-688287.1463414633 -1126046.1219512196, -674145.0107177324 -1111903.9863274887, -673900.3503346903 -1112152.9545420397, -688287.1463414633 -1126046.1219512196))
46;POLYGON((-688287.1463414633 -1126046.1219512196, -673900.3503346903 -1112152.9545420397, -673660.0723090799 -1112406.1547499697, -688287.1463414633 -1126046.1219512196))
47;POLYGON((-688287.1463414633 -1126046.1219512196, -673660.0723090799 -1112406.1547499697, -673424.2498319155 -1112663.5098240424, -688287.1463414633 -1126046.1219512196))
48;POLYGON((-688287.1463414633 -1126046.1219512196, -673424.2498319155 -1112663.5098240424, -673192.9547370079 -1112924.9413714095, -688287.1463414633 -1126046.1219512196))
49;POLYGON((-688287.1463414633 -1126046.1219512196, -673192.9547370079 -1112924.9413714095, -672966.2574790837 -1113190.3697574888, -688287.1463414633 -1126046.1219512196))
